2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\system\library\length.php on line 11
2016-12-09 19:23:42 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\system\library\length.php on line 11
2016-12-09 19:23:42 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />DELETE FROM oc_cart WHERE customer_id = '0' AND date_added < DATE_SUB(NOW(), INTERVAL 1 HOUR) in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_extension WHERE `type` = 'openbay' in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\system\library\openbay.php on line 119
2016-12-09 19:23:42 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\system\library\openbay.php on line 119
2016-12-09 19:23:42 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_event in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\index.php on line 250
2016-12-09 19:23:42 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\index.php on line 250
2016-12-09 19:23:42 - PHP Notice:  Undefined variable: query in E:\OpenServer\domains\opencart-x.com\catalog\controller\common\test.php on line 114
2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\catalog\controller\common\test.php on line 114
2016-12-09 19:23:42 - PHP Warning:  mysqli::query(): MySQL server has gone away in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 19
2016-12-09 19:23:42 - PHP Warning:  mysqli::query(): Error reading result set's header in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 19
2016-12-09 19:23:42 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_currency in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\system\library\currency.php on line 15
2016-12-09 19:23:42 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\system\library\currency.php on line 15
